 EVN Resources: ConText 1.0.0
 ---------------------------------
 Analysed: 2006.04.20 at 19:21
 
 Files :
 -------
   1 : EV Data
   2 : EV Graphics
   3 : EV Ships
   4 : EV Sounds
   5 : EV Titles
   6 : Nova Essentials
   7 : Nova Music
 -------

 Full EVN Resource Listing:
 ----------------------------------

 Total Resources Found    : 1678
 --------------------------

    bööm Found    : 3
    chär Found    : 1
    cölr Found    : 1
    crön Found    : 0
    dësc Found    : 648
    düde Found    : 67
    flët Found    : 19
    gövt Found    : 25
    ïntf Found    : 1
    jünk Found    : 19
    mïsn Found    : 116
    nëbu Found    : 2
    oütf Found    : 53
    öops Found    : 52
    përs Found    : 220
    ränk Found    : 0
    röid Found    : 16
    shän Found    : 27
    shïp Found    : 27
    spïn Found    : 83
    spöb Found    : 107
    sÿst Found    : 108
    wëap Found    : 25
    STR  Found    : 0
    STR# Found    : 58
 --------------------------

 Resource Duplicates by Type:
 ----------------------------

 ----------------------------


• Begin Output
••••••••••••••••

• Begin bööm
"Type"	"ID"	"Name"	"File"	"FrameAdvance"	"SoundIndex"	"GraphicIndex"	"EOR"
bööm	128	"FAE Small"	"Nova Essentials"	100	2	0	"•"
bööm	129	"FAE Medium"	"Nova Essentials"	100	1	1	"•"
bööm	130	"FAE Large"	"Nova Essentials"	100	0	2	"•"
• Begin chär
"Type"	"ID"	"Name"	"File"	"startCash"	"startShipType"	"startSystem1"	"startSystem2"	"startSystem3"	"startSystem4"	"startGovt1"	"startGovt2"	"startGovt3"	"startGovt4"	"startStatus1"	"startStatus2"	"startStatus3"	"startStatus4"	"startKills"	"introTextID"	"introPictID1"	"introPictID2"	"introPictID3"	"introPictID4"	"introPictDelay1"	"introPictDelay2"	"introPictDelay3"	"introPictDelay4"	"onStart"	"Flags"	"startDay"	"starMonth"	"startYear"	"DatePrefix"	"DateSuffix"	"EOR"
chär	128	".Trader"	"EV Data"	10000	128	128	128	128	128	-1	-1	-1	-1	-1	-1	-1	-1	0	20000	8200	-1	-1	-1	45	-1	-1	-1	""	0x0001	4	5	2246	""	""	"•"
• Begin cölr
"Type"	"ID"	"Name"	"File"	"ButtonUp"	"ButtonDown"	"ButtonGrey"	"MenuFont"	"MenuFontSize"	"MenuColor1"	"MenuColor2"	"GridBright"	"GridDim"	"ProgArea.left"	"ProgArea.top"	"ProgArea.right"	"ProgArea.bottom"	"ProgBright"	"ProgDim"	"ProgOutline"	"Button1x"	"Button1y"	"Button2x"	"Button2y"	"Button3x"	"Button3y"	"Button4x"	"Button4y"	"Button5x"	"Button5y"	"Button6x"	"Button6y"	"FloatingMap"	"ListText"	"ListBkgnd"	"ListHilite"	"EscortHilite"	"ButtonFont"	"ButtonFontSz"	"LogoX"	"LogoY"	"RolloverX"	"RolloverY"	"SliderX1"	"SliderY1"	"SliderX2"	"SliderY2"	"SliderX3"	"SliderY3"	"EOR"
cölr	128	"EV Colors"	"EV Titles"	#FFFFFF	#00FF00	#000000	"Geneva"	9	#00FF00	#008200	#00FF00	#404040	-100	280	100	290	#00FF00	#008200	#404040	272	388	272	460	272	528	520	388	520	460	520	528	#0C0C0C	#FFFFFF	#000000	#008200	#008200	"Crillee"	12	276	132	8448	8416	272	388	272	460	272	528	"•"
• Begin dësc
"Type"	"ID"	"Name"	"File"	"Graphic"	"Movie"	"Flags"	"Description"	"EOR"
dësc	147	""	"EV Data"	-1	""	0x0000	"Tabletop is a planet almost completely devoid of trees. Raw timber and wood products fetch a high price in Tabletop’s commodity exchange. There is even a flourishing black market, which provides Tabletop’s residents with expensive, imported wood products."	"•"
dësc	148	""	"EV Data"	-1	""	0x0000	"Enyo’s World"	"•"
dësc	149	""	"EV Data"	-1	""	0x0000	"The Enyo Orbital Fuel Refinery is one of the largest producers of processed fuel products in the galaxy. It makes fuel for everything from starships to ground vehicles. The boredom of life on a space station makes the refinery’s crew eager for diversion brought by visiting ships."	"•"
dësc	150	""	"EV Data"	-1	""	0x0000	"New Sahara is a hot, dry, flat, and highly uninteresting planet. Its main feature is its resemblance to Earth’s Sahara desert. The planet has only a few nomadic inhabitants."	"•"
dësc	151	""	"EV Data"	-1	""	0x0000	"Samson’s Planet is a grim and uninteresting ball of dirty ice. However, underneath the glaciers are large deposits of valuable metal ore."	"•"
dësc	152	""	"EV Data"	-1	""	0x0000	"Plateau is a planet composed entirely of mesa-like islands. All the land is flat, and where it isn’t, it’s underwater. Plateau’s inhabitants live in isolated island communities, claiming they find life on this planet peaceful."	"•"
dësc	153	""	"EV Data"	-1	""	0x0000	"The colony on Hikeeba was founded by a group of Japanese Haikebo experts intent on establishing a place free of distraction where they could teach martial arts. Pity it’s such a dump, though."	"•"
dësc	154	""	"EV Data"	-1	""	0x0000	"New Providence is a peaceful world, founded long ago during the Great Expansion. During the Great War, the Confederation converted the once-agrarian colony into a huge mining operation, run by the Confederation-loyal Astex Mining Corporation."	"•"
dësc	155	""	"EV Data"	-1	""	0x0000	"Due to the postwar rise in commercial traffic in the vicinity of the Antares system, the Confederation has constructed this small orbital garrison. It serves as a refuelling base for Confederation patrol ships, as well as a vanguard against possible Rebel incursions against the mines of New Providence."	"•"
dësc	156	""	"EV Data"	-1	""	0x0000	"New Istanbul is a major source of prosthetic SynthFlesh and other medical goods, as Flood Medical Technologies has its main factory here."	"•"
dësc	157	""	"EV Data"	-1	""	0x0000	"George’s World is perodically rocked by violent earthquakes, and a deep rumbling can be heard at all times, all over the planet. No one has yet postulated an explanation for this phenomenon, but settlers are reluctant to emigrate to George’s World until the mystery is solved."	"•"
dësc	158	""	"EV Data"	-1	""	0x0000	"P-8457 is a Marslike desert world with a thin atmosphere and low temperatures. It is uninhabited."	"•"
dësc	159	""	"EV Data"	-1	""	0x0000	"Beeblebrox is a wild world, a world of wild parties and wild people. If you have two heads, three arms, and an ego problem, don’t travel to Beeblebrox; you will be laughed at and considered boring and unoriginal."	"•"
dësc	160	""	"EV Data"	-1	""	0x0000	"Turin V is an arid, barren world, characterized by freezing temperatures and fierce winds. The colony ship Sojourner II was the first ship to reach this planet, and was forced to crash-land in the desert when its propulsion and life support systems were destroyed by a meteorite."	"•"
dësc	161	""	"EV Data"	-1	""	0x0000	"Palshife is a beautiful world of rocky islands and gorgeous skies. It was one of the galaxy’s more popular vacation spots, before the Great War. Now, it is home to the Rebel High Command and the Rebellion’s main troop-training center and shipyard."	"•"
dësc	162	""	"EV Data"	-1	""	0x0000	"Alkaid"	"•"
dësc	163	""	"EV Data"	-1	""	0x0000	"Alkaidion is the second moon of Alkaid, and the only one capable of supporting life. Its businesses make a huge profit each year through the export of advanced quasiconductor devices constructed in the colony’s high-tech factories - a very valuable source of funds for the Rebellion. However, the moon’s soil has an extremely low concentration of nutrients, forcing the inhabitants of Alkaidion to import much of their food."	"•"
dësc	164	""	"EV Data"	-1	""	0x0000	"Regulus II is a Confederation penal colony. Some of the most outspoken opponents of Confederation rule were shipped here after the Great War, and none have been heard from since."	"•"
dësc	165	""	"EV Data"	-1	""	0x0000	"Zaxted Starport is a bustling center of trade and commerce."	"•"
dësc	166	""	"EV Data"	-1	""	0x0000	"Zaxted"	"•"
dësc	167	""	"EV Data"	-1	""	0x0000	"Clotho Prime is often visited by Rebel warships, as the Rebellion maintains a repair and refuelling base on the surface of the planet."	"•"
dësc	168	""	"EV Data"	-1	""	0x0000	"Clotho II is a dismal world, wreathed by perpetual storm clouds. The planet was colonized so that the Delahanty plant, a spicy delicacy that grows only on this world, could be harvested."	"•"
dësc	169	""	"EV Data"	-1	""	0x0000	"Orion"	"•"
dësc	170	""	"EV Data"	-1	""	0x0000	"Hunter is home to the famous Orion Trouser Snake."	"•"
dësc	171	""	"EV Data"	-1	""	0x0000	"Atropos features some of the best hoverskiing in the galaxy. Just watch out for the perpetual avalanches."	"•"
dësc	172	""	"EV Data"	-1	""	0x0000	"Propus VII"	"•"
dësc	173	""	"EV Data"	-1	""	0x0000	"New Scotland’s motto is “It’s Our Bloody Moon, We Can Play The Bagpipes And Eat Haggis All We Want!”"	"•"
dësc	174	""	"EV Data"	-1	""	0x0000	"New Scotland’s sister moon, New Ireland, was terraformed during the Great Expansion. Now, its capital city of New Belfast is a model of industrial society."	"•"
dësc	175	""	"EV Data"	-1	""	0x0000	"New France was colonized during the Great Expansion as a center of culture, learning, and enlightenment. Now, it has the highest number of gift shops and burger bars per capita of any known planet."	"•"
dësc	176	""	"EV Data"	-1	""	0x0000	"Diphidia II is a major exporter of fish and ocean products. Diphidia seaweed, which grows only in Diphidia’s oceans, is renowned for its remarkable strength and durability; no synthetic fiber has yet matched its tensile strength."	"•"
dësc	177	""	"EV Data"	-1	""	0x0000	"New Columbia’s rugged terrain forces its inhabitants to live mostly around the port city of New Seattle. Much of the planet is still unexplored."	"•"
dësc	178	""	"EV Data"	-1	""	0x0000	"Quake is a world continually shaken by seismic tremors. Anyone who lands here immediately blasts off again and heads for Opal, Quake’s sister world and a far more calming place. Of course, anyone with any sense at all wouldn’t come to Quake in the first place."	"•"
dësc	179	""	"EV Data"	-1	""	0x0000	"Armstrong has a large number of shipyards and repair facilities, and the planet also has the most extensive museum of space history in the galaxy."	"•"
dësc	180	""	"EV Data"	-1	""	0x0000	"Persephone IX"	"•"
dësc	181	""	"EV Data"	-1	""	0x0000	"Rupert is a small moon that is home to a colony of religous fanatics, followers of the Order of the Holy Mac."	"•"
dësc	182	""	"EV Data"	-1	""	0x0000	"Darven"	"•"
dësc	183	""	"EV Data"	-1	""	0x0000	"Blackthorne is an extremely dangerous place for a law-abiding citizen to hang out. If you don’t actually get your cargo stolen, you’ll at least get your pocket picked. Still, Blackthorne is the place to come if you’re looking for any of the “special” items available here."	"•"
dësc	184	""	"EV Data"	-1	""	0x0000	"Pollux VI"	"•"
dësc	185	""	"EV Data"	-1	""	0x0000	"New Japan is a peaceful island world, and a well-established colony."	"•"
dësc	186	""	"EV Data"	-1	""	0x0000	"Thanos IV"	"•"
dësc	187	""	"EV Data"	-1	""	0x0000	"The Syntex Refinery makes most of the coolant fluids for the engines of the galaxy’s starships. Crew members on this remote station lead a boring life, and welcome any diversion brought by passing ships."	"•"
dësc	188	""	"EV Data"	-1	""	0x0000	"Ursa Minor Beta is a luxury world, full of tourists and wealthy citizens. Their membership in the Rebellion is more a matter of location than of political sympathies."	"•"
dësc	189	""	"EV Data"	-1	""	0x0000	"Perseus II is a hot but pleasant world. Persean Bug Juice is distilled here, and exported to planets across the galaxy."	"•"
dësc	190	""	"EV Data"	-1	""	0x0000	"Pegasus is a small mining and research colony on a moon orbiting Perseus II."	"•"
dësc	191	""	"EV Data"	-1	""	0x0000	"Sauron is the only inhabited world in this small region of space, as it is convienently located to serve as a refuelling and outfitting base for passing ships."	"•"
dësc	192	""	"EV Data"	-1	""	0x0000	"Darkstar’s sun, Nemesis, is a massive red giant - a star which has nearly exhausted its supply of nuclear fuel. At night on the planet, the beautiful Serpens Nebula can be seen drifting across the sky. The people of Darkstar are expert metalworkers, able to turn piles of raw sheet metal into a myriad of useful industrial equipment."	"•"
dësc	193	""	"EV Data"	-1	""	0x0000	"New Bavaria is a lovely planet, and its inhabitants are proud of their Germanic heritage. This is one of the few planets in the galaxy where Galactic Standard is not the first language."	"•"
dësc	194	""	"EV Data"	-1	""	0x0000	"Many species of animals, both Terran and alien, range free on Palomino’s open grasslands. Part of the planet is a huge nature preserve, and part is a vast breeding ground and stable for work animals, which are still useful on many worlds."	"•"
dësc	195	""	"EV Data"	-1	""	0x0000	"Tiber II"	"•"
dësc	196	""	"EV Data"	-1	""	0x0000	"Port Oread is a stopover point for passing freighters of many governments and corporations."	"•"
dësc	197	""	"EV Data"	-1	""	0x0000	"The religion of the people of Akio is most peculiar - they believe that, some day, a giant turtle will descend from the heavens and deliver them from evil."	"•"
dësc	198	""	"EV Data"	-1	""	0x0000	"Lauralee is a beautiful world, with many exotic plant and animal species visible from the spaceport windows."	"•"
dësc	199	""	"EV Data"	-1	""	0x0000	"Murphy's World is a planet of terrible luck. Most of the islands on this ocean world are of volcanic origin, with many still active.  Forecasting the frequent eruptions is a huge task, and many people are caught off guard — in the wrong place at the wrong time — when one of the volcanoes unexpectedly erupts."	"•"
dësc	200	""	"EV Data"	-1	""	0x0000	"Much of the pre-War industry of Adhara was occupied with producing luxury goods for wealthy planets. As a result, the freedom-loving people of Adhara have been able to contribute substantial revenue to the Rebellion’s war efforts."	"•"
dësc	201	""	"EV Data"	-1	""	0x0000	"Sentinel Station used to serve as a base for the patrol ships that escorted bulk freighters full of luxury goods out of the Adhara system - now it functions as the Rebellion’s primary staging platform in this region of space."	"•"
dësc	202	""	"EV Data"	-1	""	0x0000	"Zeus is a large planet with high gravity. Violent thunderstorms jolt the desert bluffs with lightning during Zeus’s monsoon season."	"•"
dësc	203	""	"EV Data"	-1	""	0x0000	"In sharp contrast with neighboring Zeus, Hera is a lush garden spot. The inhabitants of Hera are extremely involved in nature, and their forestry and conservation skills are legendary. Professional environmentalists and terraformers from Hera are in great demand throughout the galaxy. "	"•"
dësc	204	""	"EV Data"	-1	""	0x0000	"Osiris II"	"•"
dësc	205	""	"EV Data"	-1	""	0x0000	"Endor is a small moon with low gravity. As a result, the trees that cover this forest world grow to incredible heights."	"•"
dësc	206	""	"EV Data"	-1	""	0x0000	"Topaz II"	"•"
dësc	207	""	"EV Data"	-1	""	0x0000	"Emerald, the third and largest moon of Topaz II, is home to the Emerald buzzbird. These charming birds produce a sound that has a calming effect on humans, and many are exported to other, less relaxed, planets. During Emerald’s spring, however, the inhabitants must stay indoors and refrain from operating heavy machinery, as the sound made by thousands of flocking buzzbirds can put anyone to sleep in an instant."	"•"
dësc	208	""	"EV Data"	-1	""	0x0000	"Virgo is almost all swamp, so the inhabitants are forced to live in the sparsely-dotted mountain ranges. Virgo’s main export is the Virgo Banderfrog, whose hide is highly valued for its toughness and beauty."	"•"
dësc	209	""	"EV Data"	-1	""	0x0000	"Sirgil is a major industrial world, dotted with metropolitan cities and manufacturing centers."	"•"
dësc	210	""	"EV Data"	-1	""	0x0000	"Sirgil Starport is an orbital market, established as a commodity exchange for the products produced by the planet below."	"•"
dësc	211	""	"EV Data"	-1	""	0x0000	"Scorpio has the largest number of crab species in the known galaxy."	"•"
dësc	212	""	"EV Data"	-1	""	0x0000	"Deneb III is a major agricultural world, specializing in the production of grain and fruit."	"•"
dësc	213	""	"EV Data"	-1	""	0x0000	"New Cydonia was founded by natives of the Mars Colony, who claimed that Mars was too civilized and terraformed for their tastes. The Aries system is currently at war with its neighboring system, Lethe, over water rights."	"•"
dësc	214	""	"EV Data"	-1	""	0x0000	"Lethe Prime’s fields and forests feed much of this sector. The major exports are vegetables and processed grain products. Lethe is currently at war with New Cydonia over water rights."	"•"
dësc	215	""	"EV Data"	-1	""	0x0000	"Opal is a tranquil island world, much preferable to neighboring Quake."	"•"
dësc	216	""	"EV Data"	-1	""	0x0000	"Nexus Outpost serves as a monitoring station for traffic passing through the Nexus system."	"•"
dësc	217	""	"EV Data"	-1	""	0x0000	"A strangely-lit and little-understood world."	"•"
dësc	218	""	"EV Data"	-1	""	0x0000	"Pirate’s Cove is a haven for privateers, bucaneers, brigands, and others from the scum of the galaxy."	"•"
dësc	219	""	"EV Data"	-1	""	0x0000	"Astrodyne Outpost is an abandoned research base that was once used as a weapons testing facility by the Confederation. When a mysterious accident killed the entire crew of the station, the Confederation covered up the incident and left this station, stripped of all classified material, to drift through space."	"•"
dësc	220	""	"EV Data"	-1	""	0x0000	"P-6564 is a planet shrouded by a corrosive atmosphere. Better not stay too long, or your ship might melt."	"•"
dësc	221	""	"EV Data"	-1	""	0x0000	"Ruby is completely red: red ground, red sky, red planet in the background. This moon is a testing ground for many new Confederation weapons."	"•"
dësc	222	""	"EV Data"	-1	""	0x0000	"Listening Post 94 was set up to monitor communications traffic from pirates and suspected rebels."	"•"
dësc	223	""	"EV Data"	-1	""	0x0000	"Listening Post 95 was set up to monitor communications traffic from pirates and suspected rebels."	"•"
dësc	224	""	"EV Data"	-1	""	0x0000	"A cold, desolate, and unremarkable planet."	"•"
dësc	225	""	"EV Data"	-1	""	0x0000	"A squalid and depressing station that hosts the worst evildoers in the galaxy. Truly a wretched hive of scum and villainy."	"•"
dësc	226	""	"EV Data"	-1	""	0x0000	"A depressingly dark and barren world."	"•"
dësc	227	""	"EV Data"	-1	""	0x0000	"A forbidding world of high winds and little else."	"•"
dësc	228	""	"EV Data"	-1	""	0x0000	"A world choked by a sheath of sulphuric acid."	"•"
dësc	229	""	"EV Data"	-1	""	0x0000	"Evildrome is a pirate’s favorite stopover, not so much for the wide selection of illegal goods to be found here as for the Evildrome Boozarama, ostensibly the best bar in the galaxy."	"•"
dësc	230	""	"EV Data"	-1	""	0x0000	"A grim, snowy world."	"•"
dësc	231	""	"EV Data"	-1	""	0x0000	"This planet is an arid wasteland."	"•"
dësc	232	""	"EV Data"	-1	""	0x0000	"This strange-looking planet has some of the oddest plant life in the galaxy."	"•"
dësc	233	""	"EV Data"	-1	""	0x0000	"New Antigua was founded in the spirit of Earth’s Caribbean islands. Like their predecessors, the islands of New Antigua are home to some of the most evil pirates around."	"•"
dësc	234	""	"EV Data"	-1	""	0x0000	"Liberty Station was constructed to serve as an ore processing center and a refuelling base for the ships that mine valuable ores from the floating debris of the Trugati asteroid belt, a region of the galaxy thick with spaceborne rocks of all sizes."	"•"
dësc	2900	""	"EV Data"	-1	""	0x0000	"Bosses don't like you?  Trapped in space and forced to watch cheesy movies?  Have to keep your sanity with the help of your robot friends?  Then this ship is for you.  Only one has been made to date.  This “Satellite of Love” features a full theater in the forward section and living quarters below deck.  Deep 13 not included.  If you're wondering how you’ll eat and breathe and other science facts, then repeat to yourself, “It's just a game,  I should really just relax.”"	"•"
dësc	3000	""	"EV Data"	-1	""	0x0000	"The Centauri Munitions laser cannon has been the standard defensive weapon for freighters and patrol craft for the last fifty years."	"•"
dësc	3001	""	"EV Data"	-1	""	0x0000	"The neutron blaster is the most powerful energy weapon available on the open market. Its short range is offset by its very high damage rating. "	"•"
dësc	3002	""	"EV Data"	-1	""	0x0000	"Proton bolt cannons use coaxial magnetic accelerators to boost charged particles to incredible velocities. As a result, proton bolts have a long range and good accuracy, though they don’t do as much damage as neutron rounds."	"•"
dësc	3003	""	"EV Data"	-1	""	0x0000	"Torpedo launchers are used to load, arm, and fire homing torpedoes."	"•"
dësc	3004	""	"EV Data"	-1	""	0x0000	"Homing torpedoes are relatively cheap, long-range weapons. Their guidance systems are primitive, however, and they are much slower than missiles. The electromagnetic fields used to separate the components of the torpedo’s matter/antimatter warhead cause it to glow in flight. This same electromagnetic field, when combined with excessive interference, can sometimes confuse the torpedo’s guidance systems."	"•"
dësc	3005	""	"EV Data"	-1	""	0x0000	"Missile racks are used to carry and fire guided missiles."	"•"
dësc	3006	""	"EV Data"	-1	""	0x0000	"Very few things can a shake Consolidated Arms Mk. 83 guided missile once it has acquired its target. However, its targeting sensor array does have a manufacturing flaw that occasionally causes it to become distracted by other objects moving across its flight path."	"•"
dësc	3007	""	"EV Data"	-1	""	0x0000	"This auxilliary cargo hold attaches to the hull of your ship and increases your cargo capacity by 10 tons."	"•"
dësc	3008	""	"EV Data"	-1	""	0x0000	"The turreted version of Centauri Munitions’ laser cannon combines the original’s long range and decent punch with a computer-guided omnidirectional targeting platform, which provides the dual-mounted laser turret with a 360° field of fire."	"•"
dësc	3009	""	"EV Data"	-1	""	0x0000	"The proton bolt turret, like the standard proton bolt cannon, excels at damaging both shields and armor. This model features triple proton bolt cannons mounted on a computer-guided swivel platform, for accurate tracking at all angles."	"•"
dësc	3010	""	"EV Data"	-1	""	0x0000	"The Mastech corporation struck gold with its F-5 Hawk light fighters and their associated launching bay. Previously, shipborne fighters had been the playthings of the rich and the military. Mastech’s idea was to market a low-cost starfighter that the average starship captain could afford to add to his ship. This self-contained launching bay includes all the equipment needed to launch, recover, repair, and rearm a pair of Hawks."	"•"
dësc	3011	""	"EV Data"	-1	""	0x0000	"Mastech’s F-5 Hawk light fighter provides an excellent defense for all types of starships. This specialized fighter was designed to operate only from the launch bays of other ships, and the resulting design compromises mean that its manuverability and speed aren’t the greatest, and it is only armed with a set of laser cannons and a pair of missiles. Still, the fact that any large ship can mount the Hawk’s launch bay makes it an attractive aftermarket addition to any space captain’s arsenal."	"•"
dësc	3012	""	"EV Data"	-1	""	0x0000	"By sacrificing fifteen tons of cargo capacity, this modification to your ship’s structure allows you to carry ten tons more of weapons and upgrades."	"•"
dësc	3013	""	"EV Data"	-1	""	0x0000	"The P-361 patrol fighter, manufactured by the Terran Naval Yards, is the best starfighter ever designed. No other small ship can beat it in a dogfight - at least, such an occurance has never been publically reported…"	"•"
dësc	3014	""	"EV Data"	-1	""	0x0000	"When Astrotech Space Industries went bankrupt seven years ago, their remaining inventory of Model F-37B Manta light fighters was quietly bought up by an anonymous party. The Manta, heavily used by the Confederation during the early days of the Great War, has fallen out of favor with modern combateers due to its light armament. Recently, though, a Confederate freighter captain reported being attacked by several “triangular space fighters,” suggesting that the Rebellion may be using these outdated but highly maneuverable ships to further its cause."	"•"
